time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-17T22:50:19.040Z,51.2518,-177.908,28.77,3,ml,,210,0.588,0.33,us,us2000hby3,2023-08-16T15:22:08.303Z,"112 km SW of Adak, Alaska",earthquake,7.5,21.4,,,reviewed,us,ak
2018-08-17T18:30:40.150Z,51.3008,-177.4483,35,2.1,ml,,225,0.479,0.48,us,us2000h9zi,2023-08-16T15:20:04.091Z,"85 km SW of Adak, Alaska",earthquake,3.2,2,,,reviewed,us,ak
2018-08-17T16:16:06.014Z,51.4177,-177.8864,61,2.2,ml,,,,0.3,ak,ak018aizouop,2023-08-16T15:19:21.549Z,"100 km WSW of Adak, Alaska",earthquake,,1.9,,,reviewed,ak,ak
2018-08-17T15:08:21.890Z,51.2966,-178.0331,35,3.5,ml,,204,0.536,0.45,us,us2000h9zy,2023-08-16T15:18:32.399Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,5.9,2,,,reviewed,us,ak
2018-08-17T15:05:10.450Z,51.7195,-178.4913,28.61,2.5,ml,,170,0.171,0.17,us,us2000h9zw,2023-08-16T15:18:30.604Z,"129 km W of Adak, Alaska",earthquake,12,11.4,,,reviewed,us,ak
2018-08-17T14:42:50.980Z,51.2346,-177.7029,31.21,2.5,ml,,207,0.601,0.21,us,us1000gbm5,2023-08-16T15:18:25.370Z,"102 km SW of Adak, Alaska",earthquake,5.5,20.6,,,reviewed,us,ak
2018-08-17T14:25:18.451Z,51.2109,-177.9795,25.6,2.3,ml,,,,0.53,ak,ak018aiyjxvp,2023-08-16T15:18:16.274Z,"118 km SW of Adak, Alaska",earthquake,,1.2,,,reviewed,ak,ak
2018-08-17T14:15:56.180Z,51.3181,-177.8337,35,2.8,ml,,217,0.532,0.49,us,us2000h9zv,2023-08-16T15:18:08.431Z,"103 km SW of Adak, Alaska",earthquake,4,2,,,reviewed,us,ak
2018-08-17T13:19:34.500Z,51.205,-177.6602,27.2,3.8,mb,,208,0.616,1.24,us,us2000hby1,2023-08-16T15:17:52.186Z,"102 km SW of Adak, Alaska",earthquake,5.6,5.1,0.079,42,reviewed,us,us
2018-08-17T13:19:21.750Z,50.3438,-178.5337,10,3.9,mb,,242,1.719,0.76,us,us1000gg2v,2021-02-19T18:16:15.296Z,"216 km SW of Adak, Alaska",earthquake,5,2,0.075,46,reviewed,us,us
2018-08-17T10:44:27.110Z,51.216,-177.706,35,2.7,ml,,226,0.619,0.52,us,us2000h9z5,2023-08-16T15:16:24.421Z,"104 km SW of Adak, Alaska",earthquake,2.6,2,,,reviewed,us,ak
