time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,hours_from_start
2018-08-17T22:50:19.040Z,51.2518,-177.908,28.77,3.0,ml,,210.0,0.588,0.33,us,us2000hby3,2023-08-16T15:22:08.303Z,"112 km SW of Adak, Alaska",earthquake,7.5,21.4,,,reviewed,us,ak,78.88225
2018-08-17T15:08:21.890Z,51.2966,-178.0331,35.0,3.5,ml,,204.0,0.536,0.45,us,us2000h9zy,2023-08-16T15:18:32.399Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,5.9,2.0,,,reviewed,us,ak,71.18304166666667
2018-08-17T13:19:34.500Z,51.205,-177.6602,27.2,3.8,mb,,208.0,0.616,1.24,us,us2000hby1,2023-08-16T15:17:52.186Z,"102 km SW of Adak, Alaska",earthquake,5.6,5.1,0.079,42.0,reviewed,us,us,69.36987777777777
2018-08-17T13:19:21.750Z,50.3438,-178.5337,10.0,3.9,mb,,242.0,1.719,0.76,us,us1000gg2v,2021-02-19T18:16:15.296Z,"216 km SW of Adak, Alaska",earthquake,5.0,2.0,0.075,46.0,reviewed,us,us,69.36633611111111
2018-08-17T09:00:46.640Z,51.2805,-177.8581,35.0,4.0,mb,,197.0,0.565,1.03,us,us2000h9z3,2023-08-16T15:15:18.259Z,"107 km SW of Adak, Alaska",earthquake,3.8,2.0,0.126,17.0,reviewed,us,us,65.05658333333334
2018-08-17T06:58:47.070Z,52.3216,-174.2448,123.52,3.0,ml,,153.0,0.026,0.6,us,us1000gbln,2023-08-16T15:14:03.412Z,"14 km NNW of Atka, Alaska",earthquake,15.8,6.9,,,reviewed,us,ak,63.02336944444445
2018-08-17T04:35:30.460Z,51.2972,-178.1536,31.75,5.4,mww,,38.0,1.599,0.66,us,us1000gb5u,2023-08-16T15:12:56.927Z,"123 km WSW of Adak, Alaska",earthquake,5.7,3.4,0.045,47.0,reviewed,us,us,60.63542222222222
2018-08-16T20:50:30.090Z,50.5132,-174.2931,10.0,3.3,ml,,233.0,1.767,0.41,us,us1000gh4h,2023-08-16T15:09:05.532Z,"187 km S of Atka, Alaska",earthquake,5.5,2.0,,,reviewed,us,ak,52.88531944444444
2018-08-16T16:52:09.660Z,50.3113,179.7986,10.0,3.1,ml,,279.0,1.113,1.28,us,us1000gh49,2023-08-16T15:06:43.682Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,9.4,2.0,,,reviewed,us,ak,48.912977777777776
2018-08-16T13:28:00.170Z,51.2986,-177.7716,39.28,4.5,mb,,187.0,0.561,0.94,us,us1000gage,2023-08-16T15:03:56.811Z,"101 km SW of Adak, Alaska",earthquake,6.2,7.0,0.049,121.0,reviewed,us,us,45.51034166666667
